Post injection (days),Porosity,Permeability,Thickness,Salinity,depth,Residual gas saturation,Injection rate (ton/day),RTI,STI
53.15752202,0.093,5.615,30,30000,955,0.4,7.82,0.01658694,0.121043712
57.19527397,0.093,5.615,30,30000,955,0.4,7.82,0.016529704,0.121047716
62.57066066,0.093,5.615,30,30000,955,0.4,7.82,0.019580373,0.120557182
70.63788198,0.093,5.615,30,30000,955,0.4,7.82,0.022648212,0.120069318
75.32374488,0.093,5.615,30,30000,955,0.4,7.82,0.027255696,0.118586371
82.72629011,0.093,5.615,30,30000,955,0.4,7.82,0.028743827,0.118593712
88.7663529,0.093,5.615,30,30000,955,0.4,7.82,0.034902401,0.117607973
92.10629848,0.093,5.615,30,30000,955,0.4,7.82,0.036396256,0.116123691
99.50056114,0.093,5.615,30,30000,955,0.4,7.82,0.041015186,0.11563516
102.8570719,0.093,5.615,30,30000,955,0.4,7.82,0.042514764,0.115142624
110.9077281,0.093,5.615,30,30000,955,0.4,7.82,0.047122247,0.113663014
116.2831147,0.093,5.615,30,30000,955,0.4,7.82,0.045508197,0.11317248
123.68566,0.093,5.615,30,30000,955,0.4,7.82,0.048570314,0.113179821
129.0527641,0.093,5.615,30,30000,955,0.4,7.82,0.048507354,0.112193415
135.1011094,0.093,5.615,30,30000,955,0.4,7.82,0.056234189,0.111703548
142.478807,0.093,5.615,30,30000,955,0.4,7.82,0.057750939,0.110223271
147.8707588,0.093,5.615,30,30000,955,0.4,7.82,0.057676532,0.110724483
154.5754977,0.093,5.615,30,30000,955,0.4,7.82,0.062289739,0.109243538
161.3050843,0.093,5.615,30,30000,955,0.4,7.82,0.062255397,0.109250212
166.6804709,0.093,5.615,30,30000,955,0.4,7.82,0.062198161,0.108759678
172.6874035,0.093,5.615,30,30000,955,0.4,7.82,0.062135202,0.105790447
178.7357488,0.093,5.615,30,30000,955,0.4,7.82,0.063611886,0.105300581
184.1277006,0.093,5.615,30,30000,955,0.4,7.82,0.063543203,0.105801793
190.8738523,0.093,5.615,30,30000,955,0.4,7.82,0.065042782,0.106800213
196.8642197,0.093,5.615,30,30000,955,0.4,7.82,0.068110621,0.102839236
205.5961171,0.093,5.615,30,30000,955,0.4,7.82,0.0696102,0.101856166
211.6693102,0.093,5.615,30,30000,955,0.4,7.82,0.069552964,0.102853919
219.6868361,0.093,5.615,30,30000,955,0.4,7.82,0.072620804,0.099390817
228.4270161,0.093,5.615,30,30000,955,0.4,7.82,0.075671473,0.09890362
233.8106853,0.093,5.615,30,30000,955,0.4,7.82,0.080290403,0.098908959
240.5402719,0.093,5.615,30,30000,955,0.4,7.82,0.078670629,0.098915633
247.9179694,0.093,5.615,30,30000,955,0.4,7.82,0.077056579,0.097435356
255.9851908,0.093,5.615,30,30000,955,0.4,7.82,0.083232324,0.096947492
259.3499841,0.093,5.615,30,30000,955,0.4,7.82,0.083175088,0.096950829
269.4195162,0.093,5.615,30,30000,955,0.4,7.82,0.081561038,0.095473221
285.5622414,0.093,5.615,30,30000,955,0.4,7.82,0.087731059,0.094993365
291.5940216,0.093,5.615,30,30000,955,0.4,7.82,0.090770281,0.093511753
297.6340844,0.093,5.615,30,30000,955,0.4,7.82,0.090701598,0.092526014
303.6741472,0.093,5.615,30,30000,955,0.4,7.82,0.09688879,0.091540275
311.7744988,0.093,5.615,30,30000,955,0.4,7.82,0.093723649,0.093035902
317.1167552,0.093,5.615,30,30000,955,0.4,7.82,0.096785765,0.090561877
